Wall time,Step,Value
1724638916.522766,165,92.875
1724638921.2979996,166,104.25
1724638925.999621,167,96.625
1724638930.805358,168,87.25
1724638935.5438082,169,99.75
1724638940.4291658,170,98.25
1724638944.8167024,171,102.5
1724638949.7989686,172,102.625
1724638954.6331923,173,78.5
1724638959.0543582,174,85.25
1724638963.7084203,175,93.875
1724638968.311477,176,89.125
1724638973.297083,177,91.75
1724638978.0486364,178,95.125
1724638982.4128423,179,85.0
1724638986.9531538,180,94.0
1724638992.1329231,181,98.875
1724638996.639527,182,93.875
1724639001.5366182,183,97.625
1724639006.326925,184,107.0
1724639011.1734452,185,104.375
1724639015.764233,186,88.875
1724639020.1349108,187,110.125
1724639025.0408523,188,116.125
1724639029.4730437,189,100.75
1724639034.1480184,190,84.625
1724639038.795094,191,95.625
1724639043.1672125,192,94.625
1724639047.5990345,193,105.125
1724639052.129464,194,100.875
1724639056.8579178,195,96.875
1724639061.4163024,196,114.0
1724639066.4589376,197,82.5
1724639071.1023064,198,91.75
1724639075.8552113,199,108.25
